run_id,sep,ali,coh,timestamp_sec,boids_alive,boids_eaten,boids_starved,boids_in_refuge,predators_alive,predators_starved,food_available,avg_boid_distance,avg_boid_velocity,avg_boid_separation,avg_boid_food_level,center_of_mass_x,center_of_mass_y,max_boid_distance_to_center,min_boid_distance_to_center
2,1.25,0.0,1.5,0.0,20,0,0,1,3,0,14,536.979218654977,0.9898843422060244,394.8367302899418,99.98266666666666,675.8377773033251,341.8088787730511,626.8256283104616,114.14637038312327
1,1.25,0.0,1.5,0.0,20,0,0,0,3,0,14,531.4246912615092,0.9821312089341253,378.90530568490516,99.98266666666666,669.0765589379528,402.4015054406212,652.1990668608418,181.35560952140844
4,1.25,0.0,1.5,0.0,20,0,0,0,3,0,14,578.92914935496,1.0024526189409344,411.52093849442645,99.98266666666666,623.4422730186568,368.9053043831529,642.8612241129873,142.54624409632711
5,1.25,0.0,1.5,0.0,20,0,0,0,3,0,14,507.9443293448845,0.986226946916122,353.28735650325206,99.98266666666666,494.6449137396636,385.1088766536883,687.9962049144011,10.699759418162849
3,1.25,0.0,1.5,0.0,20,0,0,0,3,0,14,553.9020229060986,0.9703798739571937,388.26658090972614,99.98266666666666,676.5824751297857,394.37942378130094,654.9068756774051,41.99726920908587
6,1.25,0.25,1.5,0.0,20,0,0,0,3,0,14,523.3933094975126,0.9644895860946917,371.5892054162036,99.98266666666666,656.3102754118157,368.809174503217,659.3405498032689,100.67749197542012
2,1.25,0.0,1.5,1.0,20,0,0,3,3,0,14,539.8872586577368,1.2652013182769815,393.439018429282,98.85151037800716,675.7930313410668,370.6541837851131,629.9878236803444,77.66643926374553
1,1.25,0.0,1.5,1.0,20,0,0,1,3,0,14,549.0061626353466,1.168088103737752,401.4039793522977,98.85439032021681,583.2842919863524,335.61730874750816,645.6660623480916,228.49955190026748
5,1.25,0.0,1.5,1.0,20,0,0,1,3,0,14,513.6769655499342,1.675252454960343,360.9638130005741,98.84276000494916,475.14774136333415,425.3982407095444,662.0534600707442,85.9146368219175
3,1.25,0.0,1.5,1.0,20,0,0,1,3,0,14,546.0749778291637,1.4984522243256209,387.3021158146979,98.8622018155589,662.0202035323035,398.6247803650398,699.9445953010352,59.19976707396074
4,1.25,0.0,1.5,1.0,20,0,0,1,3,0,14,605.7626071804989,1.8084093340620204,432.7685532991968,98.79575476313124,590.9146353467672,393.03824970670746,638.5330587482393,98.19887658437469
6,1.25,0.25,1.5,1.0,20,0,0,0,3,0,14,533.0884973153345,1.4644264671893876,380.33918786809926,98.83789882424867,582.8622462406906,362.71529599356955,658.412877174798,101.10879618829317
2,1.25,0.0,1.5,2.0,20,0,0,3,3,0,14,558.4905069919324,1.5308740025921541,409.9028419643455,97.70110667848479,672.7455836973683,376.16716944430715,693.4831342868156,193.8791832726392
1,1.25,0.0,1.5,2.0,20,0,0,1,3,0,14,550.3096373546988,1.5688318679124085,396.23908235206375,97.69586232875797,615.1033253427642,342.71597178172976,713.4442735929076,121.88348114563583
4,1.25,0.0,1.5,2.0,20,0,0,1,3,0,14,610.9771420196366,1.7804271387242498,443.7496627419505,97.62479410460362,555.3839451178039,333.00477286855255,641.5368035210695,157.55688398625026
5,1.25,0.0,1.5,2.0,20,0,0,1,3,0,14,543.4104723751592,1.5746860631046924,385.3246830459936,97.66959102881935,462.1427862479326,454.3536436500697,663.3990440853494,140.1241987280524
3,1.25,0.0,1.5,2.0,20,0,0,1,3,0,14,529.3624957249187,1.6342031119519205,378.234681172147,97.69460570381294,710.2539858421311,366.49583249490166,636.7460858464291,72.82508048024808
6,1.25,0.25,1.5,2.0,20,0,0,0,3,0,14,496.5042202915654,1.8978763578042623,351.9386782192909,97.6769050208433,610.7253365485797,337.2668001965797,732.4716900367692,47.175954677924835
1,1.25,0.0,1.5,3.0,20,0,0,1,3,0,14,540.7420183447401,1.5429868148986563,386.60002053363144,96.56204950193248,638.9749467495246,302.1504562822213,700.535308052356,140.47077227379788
2,1.25,0.0,1.5,3.0,20,0,0,3,3,0,14,565.0601530796047,1.4649432079340257,420.10225757563205,96.52751381929316,673.1107738587832,425.1123804707234,687.4504947435585,269.5493750103789
4,1.25,0.0,1.5,3.0,20,0,0,2,3,0,14,643.7010172007493,1.6688621911526405,473.42207408108817,96.43382141231237,638.6801918037098,395.10985312405126,619.6994208028362,188.3096513544003
3,1.25,0.0,1.5,3.0,20,0,0,1,3,0,14,553.2133132877128,1.717144853594797,396.37096017138896,96.52043118088314,578.6444955145621,338.08389348525805,576.1993798983407,60.682615880381746
5,1.25,0.0,1.5,3.0,20,0,0,1,3,0,14,550.1381698291327,1.5420393329227848,389.6446339589369,96.49906155548499,510.102645105974,328.633415949787,627.1182639853806,43.38308197993784
6,1.25,0.25,1.5,3.0,20,0,0,0,3,0,14,470.3942628637414,1.9389339933561103,336.6690015295811,96.46274119403326,548.679080981801,307.2692464455835,672.0524524410511,111.91124271782131
2,1.25,0.0,1.5,4.0,20,0,0,3,3,0,14,569.9427715040905,1.3886176643658164,426.5154262758282,95.38287670657208,670.437494151444,434.6265918925616,642.849371527019,262.3671364774936
1,1.25,0.0,1.5,4.0,20,0,0,3,3,0,14,465.5196804680121,1.4464560834152662,304.66552229605736,95.40609984138429,796.3676191257684,312.87156854837406,732.246734784644,2.515595177824744
3,1.25,0.0,1.5,4.0,20,0,0,1,3,0,14,522.2785922095752,1.6451107629572956,365.94307044454195,95.3367300392693,681.3201507414144,429.0957834794587,606.5295519098361,50.349098736590385
4,1.25,0.0,1.5,4.0,20,0,0,3,3,0,14,645.2321626361462,1.6156686099713027,471.6714602858184,95.23500810605611,614.4516996115824,430.851265331378,646.3625774832275,101.66048660088038
5,1.25,0.0,1.5,4.0,20,0,0,2,3,0,14,540.9971877475705,1.7517818023443668,391.15654621769767,95.31651594141655,486.7148646555108,400.65016587079197,602.4357597127403,46.40308509440645
6,1.25,0.25,1.5,4.0,20,0,0,0,3,0,14,497.44013294747475,1.8189366043719677,353.2770755662845,95.26586416493281,557.0127679370843,296.41445012286914,664.341076389524,116.2005052521696
2,1.25,0.0,1.5,5.0,20,0,0,3,3,0,14,563.3177596733732,1.470696047925088,421.0217834178494,94.25379893988557,666.124947091368,411.96524925529786,625.1909189103807,282.2041324795331
1,1.25,0.0,1.5,5.0,20,0,0,4,3,0,14,469.577451525783,1.4976798771189341,323.53010220022253,94.25264390983563,789.0071916988015,360.42809377816735,781.6704109050032,82.28052382865643
5,1.25,0.0,1.5,5.0,20,0,0,2,3,0,14,551.5773812159051,1.789652269190329,398.0776853417895,94.12432612533223,459.98329232359976,360.6882814663011,632.0688717656042,145.8837184851666
4,1.25,0.0,1.5,5.0,20,0,0,3,3,0,14,649.4096182240634,1.8414398151395717,475.1210141915318,94.0418847106965,596.6484347976286,371.96218637513493,623.8717847985586,82.6132880688547
3,1.25,0.0,1.5,5.0,20,0,0,1,3,0,14,493.272277925191,1.4250921116198847,349.58285740835555,94.1778524767017,667.0839233274737,464.337712633613,594.4238511955481,82.72368310107096
6,1.25,0.25,1.5,5.0,20,0,0,3,3,0,14,506.3673674125797,1.5053648301435427,368.83271537426486,94.07663327186391,522.9438607681002,298.1587794903381,617.9295229068703,143.65864287378065
2,1.25,0.0,1.5,6.0,20,0,0,3,3,0,14,548.691430607701,1.1981150997118768,408.5229776156276,93.11222778676682,668.2134714472365,393.13445670740026,614.328931347182,154.29917523875446
1,1.25,0.0,1.5,6.0,20,0,0,4,3,0,14,396.05951660693097,1.6731597522812733,261.68736692336785,93.10376908887557,831.3494054572815,326.43575951300977,716.1512425536772,54.02796641077087
4,1.25,0.0,1.5,6.0,20,0,0,4,3,0,14,625.2984533082756,1.9863787447119194,459.5838395171542,92.84731370787947,574.607691898902,414.6175094358944,668.6024577542585,150.41698563858805
5,1.25,0.0,1.5,6.0,20,0,0,2,3,0,14,541.2815643576662,1.4940105577005487,402.80565404222426,92.94815972708082,608.9041420042865,279.6191619074717,563.8834129014598,221.09900797932985
3,1.25,0.0,1.5,6.0,20,0,0,1,3,0,14,504.0809684962232,1.2376674918040407,358.8316290424608,93.05753308939751,648.7410082595742,450.43771757906154,575.0361188302837,113.7976054107681
6,1.25,0.25,1.5,6.0,20,0,0,3,3,0,14,498.6058373213428,1.8063275590912222,375.2726308826195,92.91560009508365,511.1280945096429,300.06304056535106,620.357720092311,166.28193876105146
2,1.25,0.0,1.5,7.0,20,0,0,4,3,0,14,522.6425245020663,1.259059240241818,389.84443043416167,91.97677105755007,662.9907034625993,366.36082805686914,598.872257667948,113.74857474461454
1,1.25,0.0,1.5,7.0,20,0,0,4,3,0,14,387.70332899565915,1.6765076246738388,265.1560613135351,91.94504710720392,809.1374319861686,355.1660338986409,692.4464716949498,82.20615384323173
5,1.25,0.0,1.5,7.0,20,0,0,2,3,0,14,500.6680382221175,1.48382422939362,358.3063128167,91.75817519580603,590.8458382166746,214.47728067304698,716.0705880842988,132.09971029188017
4,1.25,0.0,1.5,7.0,20,0,0,4,3,0,14,588.1143449631694,1.9776215573774798,435.78919148875946,91.63330033877315,558.5201441909805,480.616524230722,604.3236939110451,186.45586146339727
3,1.25,0.0,1.5,7.0,20,0,0,1,3,0,14,526.7104228730183,1.230204526332281,379.13590315034105,91.92541494071804,619.3719836761467,432.0558272700411,564.9501405559399,132.90971733739562
6,1.25,0.25,1.5,7.0,20,0,0,3,3,0,14,494.58456959551006,1.667866986953242,371.12451773416717,91.73111220217177,466.72421885248224,355.21074607052003,639.5760170027114,129.3522456812729
1,1.25,0.0,1.5,8.0,20,0,0,4,3,0,14,372.8487999252656,1.6395159852687133,254.0877446893724,90.77604745247298,787.6262327369421,329.94822493498083,672.2886031463572,37.303073678635116
2,1.25,0.0,1.5,8.0,20,0,0,4,3,0,14,501.8124969403152,1.233839362018209,378.2988221069408,90.83451648229718,668.7757981202542,381.5216887972306,576.3175106683183,183.3067978677505
5,1.25,0.0,1.5,8.0,20,0,0,2,3,0,14,512.2464714844972,1.6015118025843396,366.1623409721257,90.5766756060787,502.99810650354874,267.1823373584384,722.645192712961,131.8908028416766
3,1.25,0.0,1.5,8.0,20,0,0,2,3,0,14,525.6827259643412,1.277027140864224,372.16363115819127,90.77755354338498,588.2100483913339,494.43850860973737,634.6546207876563,98.14022836958956
4,1.25,0.0,1.5,8.0,20,0,0,5,3,0,14,573.1840090004149,1.7036924332139403,425.27242638855586,90.41605305564293,596.2262054674572,451.18200980184776,596.308794412852,138.11348549057863
6,1.25,0.25,1.5,8.0,20,0,0,3,3,0,14,515.6337550130661,1.8243249886763249,391.0630307409755,90.53821191585216,462.31808748827234,316.7829383680209,736.5169535524079,170.90589308866785
2,1.25,0.0,1.5,9.0,20,0,0,4,3,0,14,488.03784332575566,1.3445309473411624,368.7451476050193,89.68623469395416,675.367425566252,402.96866955590207,574.3096035264856,215.60449675197063
1,1.25,0.0,1.5,9.0,20,0,0,4,3,0,14,407.9770197245949,1.5443834214717935,296.6155593004404,89.61102784374556,710.2040883024782,299.104725907992,705.2247359990564,55.374097878015874
3,1.25,0.0,1.5,9.0,20,0,0,2,3,0,14,520.6934499126506,1.5524586263493756,372.6327700441552,89.63695723354901,495.73576832861755,479.71156394773834,736.3390768941293,146.91951308083102
5,1.25,0.0,1.5,9.0,20,0,0,2,3,0,14,512.3533149851133,1.61887820209964,373.19065575345275,89.40738740390402,546.1857633365332,308.4347521794104,638.830044247631,185.00362032069853
4,1.25,0.0,1.5,9.0,20,0,0,5,3,0,14,575.8713097132891,1.8463812202486274,426.7282803829873,89.2125004232493,585.176629849053,470.0357147095363,596.3568730842627,120.28865931384655
6,1.25,0.25,1.5,9.0,20,0,0,3,3,0,14,499.65115141836975,1.649086758726381,397.2921554027043,89.34263714881642,648.2242768981471,358.2838476722949,552.1606033979947,241.21376052564207
1,1.25,0.0,1.5,10.0,20,0,0,4,3,0,14,383.0273695428526,1.4096500906784868,270.89903167445885,88.42797638967986,746.2465990489393,261.3376685501194,704.4617516863098,47.506237345701805
2,1.25,0.0,1.5,10.0,20,0,0,4,3,0,14,475.33596575189637,1.1842723194529825,361.2789373198246,88.53064862701171,680.5097687068965,426.3793182836213,578.84935649302,166.16704084612363
4,1.25,0.0,1.5,10.0,20,0,0,5,3,0,14,609.4472510000459,1.656176507127673,447.19580177904845,88.0270437462279,634.8814101958412,485.4402478604543,673.3563579945393,68.48111703235388
3,1.25,0.0,1.5,10.0,20,0,0,2,3,0,14,529.5179309195802,1.5872970980676793,378.4806706129073,88.43465087543859,516.4291990486906,327.78914117228254,784.6711391968668,161.2685911954754
5,1.25,0.0,1.5,10.0,20,0,0,2,3,0,14,466.1066684826325,1.4522782885642502,341.20845349032084,88.24293944844294,587.4036805701011,272.67020485479105,596.3712130710101,169.35581285777187
6,1.25,0.25,1.5,10.0,20,0,0,3,3,0,14,477.16045368587766,1.5303557697044194,381.04245069718183,88.14374287784165,583.1387360563224,384.3772874535567,561.7564375208774,219.6787154500837
2,1.25,0.0,1.5,11.0,20,0,0,4,3,0,14,474.79009482275006,1.1434774444906117,359.85491464349496,87.42677946024139,680.9186320154615,438.9196111027983,579.3275357156982,112.8223893180124
1,1.25,0.0,1.5,11.0,20,0,0,4,3,0,14,396.17730658939604,1.437789678389177,283.5087143808446,87.26422680252698,732.4462041907824,225.99328543257283,686.8156517082134,83.07614463117898
4,1.25,0.0,1.5,11.0,20,0,0,5,3,0,14,609.5951060122275,1.6093637073582538,458.47288928655615,86.80977656072683,623.930093468548,530.7731273512534,591.7572804981562,103.57908705276961
5,1.25,0.0,1.5,11.0,20,0,0,2,3,0,14,470.6613614603866,1.2472621546968576,340.97804462475875,87.09639867748945,557.5073788564425,306.8668201473529,610.2687838826275,154.53955613718693
3,1.25,0.0,1.5,11.0,20,0,0,5,3,0,14,530.7386546589483,1.7196866787587577,379.83747605709357,87.24741761820557,545.5807374575213,338.90558586246556,641.8232702875405,107.92975205694212
6,1.25,0.25,1.5,11.0,20,0,0,3,3,0,14,496.8170414220407,1.740402998447868,386.2099333511953,86.95003544148662,528.8099358102447,352.0086905078722,633.8984320079544,161.38529398885524
1,1.25,0.0,1.5,12.0,20,0,0,4,3,0,14,420.8510176260099,1.43865070300857,310.22568768679383,86.11224407051601,718.830600258301,244.43538127232682,755.4771284318449,47.021304441295925
2,1.25,0.0,1.5,12.0,20,0,0,8,3,0,14,481.1590176218962,1.531308946700665,363.13297517831916,86.27121858636161,674.5690665190757,454.9249833905031,574.0090183240221,69.70259299246386
