run_id,sep,ali,coh,timestamp_sec,boids_alive,boids_eaten,boids_starved,boids_in_refuge,predators_alive,predators_starved,food_available,avg_boid_distance,avg_boid_velocity,avg_boid_separation,avg_boid_food_level,center_of_mass_x,center_of_mass_y,max_boid_distance_to_center,min_boid_distance_to_center
6,0.25,1.5,1.5,0.0,20,0,0,0,3,0,14,559.321507035497,0.9692960115937291,396.4202266560022,99.98266666666666,624.4050210399962,446.2146771340912,738.4561430559266,24.775725487814377
3,0.0,1.5,1.5,0.0,20,0,0,0,3,0,14,537.0801705754776,0.9982755902327988,381.8686706889353,99.98266666666666,621.4531081221375,374.31096037388477,614.838852805078,80.9231788693024
4,0.0,1.5,1.5,0.0,20,0,0,0,3,0,14,531.1574197120568,0.9653678942773581,377.5437662927255,99.98266666666666,636.0606458676541,342.1000766115644,684.9155817988333,74.43340406010022
5,0.0,1.5,1.5,0.0,20,0,0,0,3,0,14,541.0773699357102,0.9880791006799278,398.3269629255759,99.98266666666666,584.3255956876104,365.2350369020153,581.687738608243,195.8422010318095
2,0.0,1.5,1.5,0.0,20,0,0,0,3,0,14,506.011896351341,0.9455959062664971,355.64490826191724,99.98266666666666,526.0970569103226,414.5559557265283,676.1392212895689,40.06432994552155
1,0.0,1.5,1.5,0.0,20,0,0,0,3,0,14,570.5221307955971,0.9927768463296603,401.292343160928,99.98266666666666,560.3515282921832,497.8538496781225,624.0456324762433,50.98814900725934
6,0.25,1.5,1.5,1.0,20,0,0,2,3,0,14,553.4491293828385,1.8966770633805417,399.5343383077737,98.81739306287403,656.7841843014329,447.47635186525457,617.5234042706625,60.91828325890498
3,0.0,1.5,1.5,1.0,20,0,0,2,3,0,14,551.5944571876015,1.7749660647090035,391.7210233990297,98.82757938935953,593.2911508721216,352.4439002931882,623.1462221405745,144.3692640303469
4,0.0,1.5,1.5,1.0,20,0,0,0,3,0,14,516.8098759307396,1.868029715631621,365.4371778022313,98.83699518171012,618.4402217443401,438.3194546454027,617.0538800173057,99.53496987661191
5,0.0,1.5,1.5,1.0,20,0,0,0,3,0,14,540.8400676517377,1.9218046601925682,388.0230883284295,98.81498409935338,624.3656209068351,358.4930988798628,681.4493816773853,148.47849146877198
